indicator,Country__ESTANDAR,Years__ESTANDAR,value,unit,notes_ids,source_id
Crude death rate,Venezuela (Bolivarian Republic of),2006,5.29,"Rate per 1,000 inhabitants",,6547
Crude death rate,Venezuela (Bolivarian Republic of),2007,5.24,"Rate per 1,000 inhabitants",,6547
Crude death rate,Venezuela (Bolivarian Republic of),2008,5.60,"Rate per 1,000 inhabitants",,6547
Crude death rate,Venezuela (Bolivarian Republic of),2009,5.62,"Rate per 1,000 inhabitants",,6547
Crude death rate,Venezuela (Bolivarian Republic of),2010,5.57,"Rate per 1,000 inhabitants",,6547
Crude death rate,Venezuela (Bolivarian Republic of),2011,5.65,"Rate per 1,000 inhabitants",,6547
Crude death rate,Venezuela (Bolivarian Republic of),2012,5.68,"Rate per 1,000 inhabitants",,6547
Crude death rate,Venezuela (Bolivarian Republic of),2013,5.71,"Rate per 1,000 inhabitants",,6547
Crude death rate,Venezuela (Bolivarian Republic of),2014,5.97,"Rate per 1,000 inhabitants",,6547
Crude death rate,Venezuela (Bolivarian Republic of),2015,6.00,"Rate per 1,000 inhabitants",,6547
Crude death rate,Venezuela (Bolivarian Republic of),2016,6.57,"Rate per 1,000 inhabitants",,6547
Crude death rate,Venezuela (Bolivarian Republic of),2017,6.74,"Rate per 1,000 inhabitants",,6547
Crude death rate,Venezuela (Bolivarian Republic of),2018,6.86,"Rate per 1,000 inhabitants",,6547
Crude death rate,Venezuela (Bolivarian Republic of),2019,7.02,"Rate per 1,000 inhabitants",,6547
Crude death rate,Venezuela (Bolivarian Republic of),2020,7.58,"Rate per 1,000 inhabitants",,6547
Crude death rate,Venezuela (Bolivarian Republic of),2021,8.12,"Rate per 1,000 inhabitants",,6547
Crude death rate,Venezuela (Bolivarian Republic of),2022,8.10,"Rate per 1,000 inhabitants",,6547
Crude death rate,Venezuela (Bolivarian Republic of),2023,7.34,"Rate per 1,000 inhabitants",,6547
Crude death rate,Venezuela (Bolivarian Republic of),2024,7.39,"Rate per 1,000 inhabitants",,6547
Crude death rate,Venezuela (Bolivarian Republic of),2025,7.43,"Rate per 1,000 inhabitants",,6547
Crude death rate,Venezuela (Bolivarian Republic of),2026,7.48,"Rate per 1,000 inhabitants",,6547
Crude death rate,Venezuela (Bolivarian Republic of),2027,7.53,"Rate per 1,000 inhabitants",,6547
Crude death rate,Venezuela (Bolivarian Republic of),2028,7.58,"Rate per 1,000 inhabitants",,6547
Crude death rate,Venezuela (Bolivarian Republic of),2029,7.63,"Rate per 1,000 inhabitants",,6547
Crude death rate,Venezuela (Bolivarian Republic of),2030,7.68,"Rate per 1,000 inhabitants",,6547
